Date,NAV
2022-04-03 18:30:00,26.03
2022-04-04 18:30:00,26.22
2022-04-05 18:30:00,26.25
2022-04-06 18:30:00,26.18
2022-04-07 18:30:00,26.36
2022-04-10 18:30:00,26.45
2022-04-11 18:30:00,26.12
2022-04-12 18:30:00,26.17
2022-04-17 18:30:00,25.95
2022-04-18 18:30:00,25.65
2022-04-19 18:30:00,25.71
2022-04-20 18:30:00,26.16
2022-04-21 18:30:00,26.03
2022-04-24 18:30:00,25.59
2022-04-25 18:30:00,25.83
2022-04-26 18:30:00,25.71
2022-04-27 18:30:00,25.81
2022-04-28 18:30:00,25.61
2022-05-01 18:30:00,25.43
2022-05-03 18:30:00,24.93
2022-05-04 18:30:00,24.82
2022-05-05 18:30:00,24.33
2022-05-08 18:30:00,23.93
2022-05-09 18:30:00,23.5
2022-05-10 18:30:00,23.21
2022-05-11 18:30:00,22.77
2022-05-12 18:30:00,22.94
2022-05-15 18:30:00,23.23
2022-05-16 18:30:00,23.67
2022-05-17 18:30:00,23.81
2022-05-18 18:30:00,23.35
2022-05-19 18:30:00,23.68
2022-05-22 18:30:00,23.6
2022-05-23 18:30:00,23.41
2022-05-24 18:30:00,22.89
2022-05-25 18:30:00,23.01
2022-05-26 18:30:00,23.27
2022-05-29 18:30:00,23.93
2022-05-30 18:30:00,24.17
2022-05-31 18:30:00,24.38
2022-06-01 18:30:00,24.51
2022-06-02 18:30:00,24.32
2022-06-05 18:30:00,24.14
2022-06-06 18:30:00,24.05
2022-06-07 18:30:00,23.97
2022-06-08 18:30:00,23.98
2022-06-09 18:30:00,23.78
2022-06-12 18:30:00,23.15
2022-06-13 18:30:00,23.14
2022-06-14 18:30:00,23.22
2022-06-15 18:30:00,22.73
2022-06-16 18:30:00,22.4
2022-06-19 18:30:00,22.02
2022-06-20 18:30:00,22.4
2022-06-21 18:30:00,22.13
2022-06-22 18:30:00,22.41
2022-06-23 18:30:00,22.65
2022-06-26 18:30:00,23.05
2022-06-27 18:30:00,23.04
2022-06-28 18:30:00,23.04
2022-06-29 18:30:00,22.99
2022-06-30 18:30:00,22.98
2022-07-03 18:30:00,23.08
2022-07-04 18:30:00,23.17
2022-07-05 18:30:00,23.37
2022-07-06 18:30:00,23.58
2022-07-07 18:30:00,23.66
2022-07-10 18:30:00,23.83
2022-07-11 18:30:00,23.78
2022-07-12 18:30:00,23.9
2022-07-13 18:30:00,23.84
2022-07-14 18:30:00,23.95
2022-07-17 18:30:00,24.3
2022-07-18 18:30:00,24.46
2022-07-19 18:30:00,24.62
2022-07-20 18:30:00,24.89
2022-07-21 18:30:00,24.98
2022-07-24 18:30:00,24.99
2022-07-25 18:30:00,24.77
2022-07-26 18:30:00,24.87
2022-07-27 18:30:00,25.02
2022-07-28 18:30:00,25.28
2022-07-31 18:30:00,25.5
2022-08-01 18:30:00,25.57
2022-08-02 18:30:00,25.48
2022-08-03 18:30:00,25.35
2022-08-04 18:30:00,25.3
2022-08-07 18:30:00,25.5
2022-08-09 18:30:00,25.57
2022-08-10 18:30:00,25.74
2022-08-11 18:30:00,25.71
2022-08-15 18:30:00,25.94
2022-08-16 18:30:00,25.96
